Perception,Target,iptm,ptm,ligand_fls2_iptm,ligand_coreceptor_iptm,ligand_pae_min_fls2,ligand_pae_min_coreceptor
Perception,1,0.92,0.8933333333333334,0.91,0.7033333333333333,1.7433333333333334,1.8466666666666667
Perception,1,0.91,0.89,0.8966666666666666,0.68,2.1533333333333338,2.276666666666667
Perception,1,0.8166666666666668,0.8666666666666667,0.8666666666666667,0.54,2.59,5.823333333333333
Perception,1,0.91,0.89,0.8866666666666667,0.6666666666666666,2.0366666666666666,2.3533333333333335
Perception,1,0.9133333333333334,0.89,0.8866666666666667,0.6633333333333334,2.1133333333333333,2.4333333333333336
Perception,1,0.91,0.89,0.88,0.6566666666666667,2.1999999999999997,2.38
Perception,1,0.91,0.89,0.8866666666666667,0.66,2.046666666666667,2.39
Perception,1,0.91,0.89,0.8933333333333334,0.6766666666666667,1.88,2.1366666666666663
Perception,1,0.91,0.89,0.8866666666666667,0.6633333333333334,1.97,2.2666666666666666
Perception,1,0.9166666666666666,0.8933333333333334,0.91,0.7033333333333333,1.8399999999999999,1.9333333333333333
Perception,1,0.91,0.8866666666666667,0.8566666666666666,0.64,2.35,2.5566666666666666
Perception,1,0.91,0.89,0.88,0.6566666666666667,2.183333333333333,2.516666666666666
Perception,1,0.91,0.89,0.8966666666666666,0.6733333333333333,2.0933333333333333,2.34
Perception,1,0.9133333333333334,0.89,0.9066666666666667,0.68,1.7266666666666666,2.033333333333333
Perception,1,0.92,0.8933333333333334,0.9133333333333334,0.7133333333333333,1.7,1.7833333333333332
Perception,1,0.91,0.89,0.9,0.68,1.9866666666666666,2.1666666666666665
Perception,1,0.9033333333333333,0.8866666666666667,0.8766666666666666,0.6366666666666667,1.9933333333333334,2.603333333333333
Perception,1,0.92,0.8933333333333334,0.91,0.6999999999999998,1.7166666666666666,1.9133333333333333
Perception,1,0.9166666666666666,0.8933333333333334,0.9133333333333334,0.71,1.7633333333333334,1.87
Perception,1,0.91,0.8866666666666667,0.89,0.67,2.1599999999999997,2.4066666666666667
Perception,1,0.91,0.89,0.8866666666666667,0.6733333333333333,1.9733333333333334,2.16
Perception,1,0.9166666666666666,0.8933333333333334,0.8933333333333334,0.6833333333333335,1.7466666666666668,1.9166666666666667
Perception,1,0.9133333333333334,0.89,0.89,0.6733333333333333,2.33,2.3066666666666666
Perception,1,0.8966666666666666,0.88,0.8366666666666666,0.5766666666666667,3.5966666666666662,4.13
Perception,1,0.8966666666666666,0.88,0.8333333333333334,0.5766666666666667,3.56,4.21
Perception,1,0.9033333333333333,0.88,0.8733333333333334,0.6266666666666666,2.983333333333334,3.2900000000000005
No perception,0,0.87,0.8733333333333334,0.62,0.36000000000000004,7.536666666666666,10.283333333333333
No perception,0,0.9066666666666667,0.8866666666666667,0.8633333333333333,0.6233333333333334,2.526666666666667,3.06
No perception,0,0.8733333333333334,0.87,0.7166666666666668,0.4266666666666667,4.096666666666667,8.033333333333333
No perception,0,0.8366666666666666,0.87,0.48333333333333334,0.27999999999999997,9.643333333333333,10.373333333333333
No perception,0,0.8366666666666666,0.8666666666666667,0.7666666666666666,0.4366666666666667,4.1866666666666665,9.6
No perception,0,0.85,0.8633333333333333,0.7633333333333333,0.4466666666666666,4.199999999999999,8.406666666666666
No perception,0,0.9,0.8833333333333333,0.84,0.6066666666666666,3.3833333333333333,3.7899999999999996
No perception,0,0.9066666666666667,0.8866666666666667,0.8633333333333333,0.64,3.1833333333333336,3.1466666666666665
No perception,0,0.8966666666666666,0.8833333333333333,0.7833333333333333,0.5366666666666667,3.25,4.296666666666666
No perception,0,0.7966666666666667,0.8533333333333334,0.37999999999999995,0.19999999999999998,14.916666666666666,14.913333333333334
No perception,0,0.8833333333333333,0.8766666666666666,0.7233333333333333,0.4766666666666666,5.716666666666666,6.366666666666667
No perception,0,0.8733333333333334,0.88,0.5800000000000001,0.3466666666666667,9.183333333333332,9.770000000000001
No perception,0,0.8333333333333334,0.8666666666666667,0.5066666666666667,0.2733333333333333,10.823333333333332,13.053333333333335
No perception,0,0.8766666666666666,0.8766666666666666,0.5800000000000001,0.36333333333333334,8.186666666666667,8.636666666666668
No perception,0,0.8566666666666666,0.87,0.5199999999999999,0.2833333333333333,10.506666666666666,11.103333333333333
No perception,0,0.8166666666666665,0.86,0.43333333333333335,0.24333333333333332,13.266666666666666,11.743333333333334
No perception,0,0.8466666666666667,0.8733333333333334,0.5,0.28,11.033333333333333,11.083333333333334
