Classification,ligand_coreceptor_iptm
canonical/immunogenic,0.6666666666666666
canonical/immunogenic,0.6633333333333334
canonical/immunogenic,0.6566666666666667
canonical/immunogenic,0.66
canonical/immunogenic,0.6766666666666667
canonical/immunogenic,0.6633333333333334
canonical/immunogenic,0.7033333333333333
canonical/immunogenic,0.64
canonical/immunogenic,0.6566666666666667
canonical/immunogenic,0.6733333333333333
canonical/immunogenic,0.68
canonical/immunogenic,0.7133333333333333
canonical/immunogenic,0.68
canonical/immunogenic,0.6366666666666667
canonical/immunogenic,0.6999999999999998
canonical/immunogenic,0.71
Deviant,0.67
Deviant,0.6733333333333333
Deviant,0.6833333333333335
Evading,0.6733333333333333
Evading/antagonist,0.5766666666666667
Evading/antagonist,0.5766666666666667
Evading/antagonist,0.6266666666666666
Evading,0.3466666666666667
Evading,0.2733333333333333
Evading,0.36333333333333334
Evading,0.2833333333333333
Evading,0.24333333333333332
Evading,0.28
Evading,0.31666666666666665
Evading,0.5233333333333333
Evading,0.3833333333333333
Evading,0.47000000000000003
Evading,0.26
Evading,0.3033333333333334
Evading,0.3466666666666667
Evading,0.5866666666666666
Evading,0.35333333333333333
Evading,0.2933333333333333
Evading,0.38666666666666666
Evading,0.47333333333333333
Evading,0.38999999999999996
Evading,0.41
Evading,0.28
Evading,0.43333333333333335
Evading,0.49
Evading,0.28
Evading,0.4466666666666666
Evading,0.37666666666666665
Evading,0.38333333333333336
Evading,0.25333333333333335
Evading,0.3033333333333333
Evading,0.32
Evading,0.32666666666666666
Evading,0.32999999999999996
Evading,0.31666666666666665
Evading,0.3866666666666667
Evading,0.31333333333333335
Evading,0.3233333333333333
Evading,0.36000000000000004
Evading,0.26666666666666666
Evading,0.33
Evading,0.2866666666666667
Evading,0.32
Evading,0.27
Evading,0.39333333333333337
Evading,0.4000000000000001
Evading,0.49666666666666665
Evading,0.22666666666666666
Evading,0.41
Evading,0.2866666666666667
Evading,0.32
Evading,0.3666666666666667
Evading,0.5566666666666666
Evading,0.47000000000000003
Evading,0.5433333333333333
Evading,0.6466666666666666
Evading/antagonist,0.3133333333333333
Evading/antagonist,0.31
Evading/antagonist,0.31
Evading/antagonist,0.4533333333333333
Evading/antagonist,0.58
canonical/immunogenic,0.42
canonical/immunogenic,0.6466666666666666
canonical/immunogenic,0.6666666666666666
canonical/immunogenic,0.66
canonical/immunogenic,0.5299999999999999
canonical/immunogenic,0.54
Deviant,0.4533333333333333
Deviant,0.6466666666666666
Deviant,0.4966666666666666
Deviant,0.6533333333333333
Deviant,0.4566666666666667
Deviant,0.3766666666666667
Deviant,0.4566666666666667
Deviant,0.30666666666666664
Deviant,0.36000000000000004
Deviant,0.36000000000000004
Deviant,0.67
Deviant,0.6366666666666667
Evading,0.6266666666666666
Evading,0.4466666666666666
Evading,0.4366666666666667
Evading,0.32666666666666666
Evading/antagonist,0.5366666666666667
Evading/antagonist,0.5833333333333334
Evading/antagonist,0.4366666666666667
Evading/antagonist,0.21333333333333335
Evading/antagonist,0.5033333333333333
